#	id	0
it	PRON
lies	VERB
approximately	ADV
north	NOUN
east	NOUN
of	ADP
bolesawiec	NOUN
,	PUNCT
and	CCONJ
west	NOUN
of	ADP
the	DET
regional	ADJ
capital	NOUN
wrocaw	NOUN
.	PUNCT

#	id	1
does	AUX
anybody	PRON
really	ADV
know	VERB
what	DET
time	NOUN
it	PRON
is	AUX
(	PUNCT
single	ADJ
version	NOUN
)	PUNCT
(	PUNCT
lamm	PROPN
)	PUNCT
-	PUNCT
1	NUM
:	SYM
1	NUM

#	id	2
amrish	PROPN
puri	PROPN
,	PUNCT
anupam	PROPN
kher	PROPN
,	PUNCT
mukesh	PROPN
khanna	PROPN
,	PUNCT
dalip	ADJ
tahil	PROPN
,	PUNCT
gulshan	PROPN
grover	PROPN
,	PUNCT
dina	PROPN
pathak	PROPN
and	CCONJ
jackie	PROPN
shroff	PROPN
are	AUX
also	ADV
featured	VERB
in	ADP
the	DET
movie	NOUN
.	PUNCT

#	id	3
wilds	NOUN
himself	PRON
later	ADV
said	VERB
that	SCONJ
he	PRON
was	AUX
coached	VERB
to	PART
say	VERB
that	SCONJ
he	PRON
first	ADV
saw	VERB
the	DET
victim	NOUN
s	PART
body	NOUN
at	ADP
a	DET
certain	ADJ
best	ADJ
buy	NOUN
.	PUNCT

#	id	4
he	PRON
scored	VERB
the	DET
first	ADJ
goal	NOUN
of	ADP
a	DET
famous	ADJ
second	ADJ
leg	NOUN
home	NOUN
comeback	PROPN
victory	NOUN
over	ADP
the	DET
great	ADJ
ac	PROPN
milan	NOUN
of	ADP
1	NUM
(	PUNCT
1	NUM
1	NUM
)	PUNCT
.	PUNCT

#	id	5
some	DET
designs	NOUN
use	VERB
rigid	ADJ
poles	NOUN
,	PUNCT
typically	ADV
made	VERB
of	ADP
metal	NOUN
,	PUNCT
or	CCONJ
sometimes	ADV
wood	NOUN
.	PUNCT

#	id	6
it	PRON
is	AUX
based	VERB
on	ADP
pac-man	NOUN
and	CCONJ
its	PRON
derivatives	NOUN
but	CCONJ
,	PUNCT
like	ADP
baby	NOUN
pac-man	NOUN
,	PUNCT
and	CCONJ
pac-man	NOUN
plus	CCONJ
,	PUNCT
was	AUX
created	VERB
without	ADP
the	DET
authorization	NOUN
of	ADP
namco	PROPN
.	PUNCT

#	id	7
in	ADP
1	NUM
comenius	PROPN
university	PROPN
in	ADP
bratislava	PROPN
was	AUX
founded	VERB
by	ADP
an	DET
act	NOUN
of	ADP
parliament	NOUN
in	ADP
bratislava	PROPN
,	PUNCT
czechoslovakia	PROPN
,	PUNCT
now	ADV
in	ADP
slovakia	PROPN
.	PUNCT

#	id	8
before	ADP
this	PRON
,	PUNCT
he	PRON
also	ADV
studied	VERB
history	NOUN
in	ADP
tsinghua	PROPN
university	PROPN
(	PUNCT
in	ADP
beijing	PROPN
)	PUNCT
during	ADP
1	NUM
1	NUM
.	PUNCT

#	id	9
the	DET
romantic	ADJ
comedy	NOUN
film	NOUN
two-faced	ADJ
woman	NOUN
starring	VERB
greta	X
garbo	PROPN
(	PUNCT
in	ADP
her	PRON
final	ADJ
role	NOUN
)	PUNCT
and	CCONJ
melvyn	PROPN
douglas	PROPN
was	AUX
released	VERB
.	PUNCT

#	id	10
steven	PROPN
spielberg	PROPN
first	PROPN
theatrical	ADJ
release	NOUN
,	PUNCT
the	DET
sugarland	PROPN
express	PROPN
